event_id,event_url,event_page_available,headline,published_at,first_recorded_at,last_recorded_at,source_ids,source_names,evidence_strength,version_count,current_in_wire,region_tags,english_headline,english_excerpt,translation_id,translation_status,background_en,translation_public_url
event-f265dd95194f52b2c0264fbd,https://palimpsest.info/news/wire/event-f265dd95194f52b2c0264fbd/,true,THE MYTH OF THE CLEAN SWEEP: How Myanmar’s Scam Empire Evolved Into a National Shadow State,2026-08-30T02:21:53Z,2026-08-30T02:25:11Z,2026-08-30T02:25:11Z,shan-news-english,SHAN News — English,single-source,1,true,bri|myanmar,,,,,,
event-cc9d3076409e18086ccdad50,https://palimpsest.info/news/wire/event-cc9d3076409e18086ccdad50/,false,Cyber Scam Hubs Expand Across Shan State Despite Crackdown,2026-08-30T02:05:07Z,2026-08-30T02:05:13Z,2026-08-30T02:10:10Z,shan-news-english,SHAN News — English,single-source,2,false,bri|myanmar,,,,,,
event-1c02faa26ae1a68573621299,https://palimpsest.info/news/wire/event-1c02faa26ae1a68573621299/,true,"Nepal-China flood survivors reach safe areas as families await news of nearly 3,000 missing",2026-08-30T01:18:10Z,2026-08-30T01:45:27Z,2026-08-30T01:45:27Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
event-6072c850e51244df76ba507c,https://palimpsest.info/news/wire/event-6072c850e51244df76ba507c/,true,Arakan Army imposes first nighttime curfew across southern Rakhine State townships,2026-08-29T00:28:09Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
event-722c2daa941a4e7b9d53b729,https://palimpsest.info/news/wire/event-722c2daa941a4e7b9d53b729/,true,9th Rohingya Genocide Remembrance Day,2026-08-28T22:06:05Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
event-87b8a9162c574423ac05c390,https://palimpsest.info/news/wire/event-87b8a9162c574423ac05c390/,true,Buddhist monk suspected of links to pro-regime militia dies in resistance custody,2026-08-28T10:00:25Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,myanmar-now,Myanmar Now — English,single-source,1,true,bri|myanmar,,,,,,
event-83a178ec5858c6dac3cb4873,https://palimpsest.info/news/wire/event-83a178ec5858c6dac3cb4873/,true,Over 100 scholars and former diplomats demand release of detained US academic in China,2026-08-28T09:16:33Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
event-a60cf57614329ae08b545687,https://palimpsest.info/news/wire/event-a60cf57614329ae08b545687/,true,Malaysia to repatriate first group of Myanmar nationals in September,2026-08-28T05:45:25Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,myanmar-now,Myanmar Now — English,single-source,1,true,bri|myanmar,,,,,,
event-7b331c7777a0612c3b516871,https://palimpsest.info/news/wire/event-7b331c7777a0612c3b516871/,true,"India, Myanmar, and mineral imperialism",2026-08-28T03:05:56Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
event-364d582351325318e6b7b21f,https://palimpsest.info/news/wire/event-364d582351325318e6b7b21f/,true,"Malaysia to return 1,476 Myanmar nationals in first phase of voluntary repatriation program",2026-08-28T02:17:54Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
