event_id,event_url,event_page_available,headline,published_at,first_recorded_at,last_recorded_at,source_ids,source_names,evidence_strength,version_count,current_in_wire,region_tags,english_headline,english_excerpt,translation_id,translation_status,background_en,translation_public_url
event-1623f1d617575f96a5fc6297,https://palimpsest.info/news/wire/event-1623f1d617575f96a5fc6297/,true,Murder case of Asma Jattak's father: Police arrest 6 suspects in Balochistan's Khuzdar,2026-08-30T04:14:56Z,2026-08-30T04:20:15Z,2026-08-30T04:20:15Z,dawn-pakistan,Dawn — Pakistan,single-source,1,true,bri|balochistan,,,,,,
event-889fda007d6e7c658f80af0b,https://palimpsest.info/news/wire/event-889fda007d6e7c658f80af0b/,false,Durbar legacy in Balochistan,2026-08-30T03:45:22Z,2026-08-30T03:50:27Z,2026-08-30T03:50:27Z,dawn-pakistan,Dawn — Pakistan,single-source,1,false,bri|balochistan,,,,,,
event-f265dd95194f52b2c0264fbd,https://palimpsest.info/news/wire/event-f265dd95194f52b2c0264fbd/,true,THE MYTH OF THE CLEAN SWEEP: How Myanmar’s Scam Empire Evolved Into a National Shadow State,2026-08-30T02:21:53Z,2026-08-30T02:25:11Z,2026-08-30T02:25:11Z,shan-news-english,SHAN News — English,single-source,1,true,bri|myanmar,,,,,,
event-b54e0137564a118182f80220,https://palimpsest.info/news/wire/event-b54e0137564a118182f80220/,true,"Putin, Xi to Hold Talks at SCO Summit",2026-08-30T02:15:57Z,2026-08-30T02:20:06Z,2026-08-30T02:20:06Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-cc9d3076409e18086ccdad50,https://palimpsest.info/news/wire/event-cc9d3076409e18086ccdad50/,false,Cyber Scam Hubs Expand Across Shan State Despite Crackdown,2026-08-30T02:05:07Z,2026-08-30T02:05:13Z,2026-08-30T02:10:10Z,shan-news-english,SHAN News — English,single-source,2,false,bri|myanmar,,,,,,
event-1c02faa26ae1a68573621299,https://palimpsest.info/news/wire/event-1c02faa26ae1a68573621299/,true,"Nepal-China flood survivors reach safe areas as families await news of nearly 3,000 missing",2026-08-30T01:18:10Z,2026-08-30T01:45:27Z,2026-08-30T01:45:27Z,dvb-english,Democratic Voice of Burma — English,single-source,1,true,bri|myanmar,,,,,,
event-36bf7a13ba096b2be5e22be2,https://palimpsest.info/news/wire/event-36bf7a13ba096b2be5e22be2/,false,"Two minor girls being prepared for suicide attacks rescued in Balochistan, home minister claims",2026-08-29T15:05:50Z,2026-08-29T20:10:35Z,2026-08-29T20:10:35Z,dawn-pakistan,Dawn — Pakistan,single-source,1,false,bri|balochistan,,,,,,
event-cf2bbd8fcbd3163c799350f3,https://palimpsest.info/news/wire/event-cf2bbd8fcbd3163c799350f3/,true,Gwadar University Adds Chinese to B.Ed. Courses,2026-08-29T09:38:25Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar|balochistan,,,,,,
event-e647d655058322e1a3a36c3a,https://palimpsest.info/news/wire/event-e647d655058322e1a3a36c3a/,true,Pakistan-China Friendship Association Launched in Lahore,2026-08-29T09:21:44Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
event-3b9dcdb8cc453ab9456c35ca,https://palimpsest.info/news/wire/event-3b9dcdb8cc453ab9456c35ca/,true,Pakistan Targets China Retail Market for Kinnow,2026-08-29T09:13:54Z,2026-08-29T19:00:35Z,2026-08-29T19:00:35Z,daily-cpec-china-pakistan,The Daily CPEC — China-Pakistan,single-source,1,true,bri|gwadar,,,,,,
